title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Sun Care Body Lotion SPF 50,002396,"<p>Mit einer Kombination aus effektiven, hoch dosierten UV-Filtern und zellaktiven natürlichen Wirkstoffen schützt die wasserfeste, parfumfreie Sonnenmilch die Gesichtshaut und den ganzen Körper vor sonnenbedingter Schädigung.</p>",https://www.labiosthetique.dk/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"414,00 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3-i-1: Showergel, shampoo og skægshampoo. Dette dejligt duftende all in one-produkt renser blidt og grundigt, samtidig med at det plejer huden og håret.",https://www.labiosthetique.dk/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"76,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Hårpleje,Hud- & kropspleje","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Comforting Hydro Toner,003737,"Den velgørende tonic lindrer symptomerne på ømfindtlig, irriteret hud, tilfører store mængder fugtighed og forbereder huden optimalt på den efterfølgende pleje. Til alle, der er glade for Visalix Sensitif bliver dette jeres nye favoritprodukt.",https://www.labiosthetique.dk/comforting-hydro-toner?childSku=4040218868197,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg,"50,00 EUR",new,in stock,4040218868197,La Biosthétique,50 ml,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Clarifying Spot Gel,002739,"Rensende hydrogel til målrettet og effektiv behandling af hudområder med hudorme og bumser. Til alle, der er glade for Likopan Gel bliver dette jeres nye favoritprodukt.",https://www.labiosthetique.dk/clarifying-spot-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg,"187,00 EUR",new,in stock,4040218882797,La Biosthétique,15 ml,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
La Biosthétique Sun Care Stick SPF 50+,002628,Den blide solcreme med SPF 50+ beskytter sensibel hud på ansigt og krop mod solskoldning og skader på hudens dybereliggende væv som følge af UV-stråling.,https://www.labiosthetique.dk/sun-care-stick-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg,"207,00 EUR",new,in stock,4040218848595,La Biosthétique,8 g,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,8 g,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,Das erfrischende Hydro Spray beruhigt und entspannt sonnengestresste Haut sofort und spendet wertvolle Feuchtigkeit.,https://www.labiosthetique.dk/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"151,00 EUR",new,in stock,4040218863895,La Biosthétique,100 ml,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Sæbeskål,053518,Et optisk highlight. Sæbeskålens enkle design og den herligt duftende SPA-sæbe giver tilsammen en dejlig atmosfære på badeværelset.,https://www.labiosthetique.dk/seifenschale,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/seifenschale_280291_1St_ck_af203e0.jpg/seifenschale_280291_1St_ck_af203e0.jpg,"92,00 EUR",new,in stock,4040218806694,La Biosthétique,1 pcs,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,,1 pcs,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,"De kølende øjenpads har en intensivt befugtende virkning, som straks beroliger og glatter huden omkring øjnene.",https://www.labiosthetique.dk/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"548,00 EUR",new,in stock,4040218846393,La Biosthétique,20 pcs,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Spa Wellness Soap,003912,Blid wellness-sæbe til rensning af ansigt og krop,https://www.labiosthetique.dk/spa-wellness-soap?childSku=4040218856392,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_soap_329815_150g_f6c2129.jpg/spa_wellness_soap_329815_150g_f6c2129.jpg,"152,00 EUR",new,in stock,4040218856392,La Biosthétique,150 g,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,150 g,FALSE
La Biosthétique Spa Skin Perfecting Lifting Cream,003714,Rynkereducerende pleje til hals og dekolleté.,https://www.labiosthetique.dk/spa-skin-perfecting-lifting-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg,"274,00 EUR",new,in stock,4040218856286,La Biosthétique,75 ml,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,75 ml,FALSE
