title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Spa Wellness Hair Shampoo,120725,Wellness-shampoo voor dagelijks gebruik,https://www.labiosthetique.nl/nl/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"26,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Haarverzorging,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Shampooing Lipokérine A,120295,"Deze opbouwende shampoo reinigt en kalmeert de vette hoofdhuid bijzonder mild, normaliseert het hoofdhuidmilieu en herstelt het natuurlijke evenwicht.",https://www.labiosthetique.nl/nl/shampooing-lipokerine-a,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg,"27,50 EUR",new,in stock,4040218120295,La Biosthétique,250 ml,Haarverzorging,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Shampooing Hydrotoxa,180255,"Shampooing Hydrotoxa is een deodoriserende actieve shampoo tegen sliertig haar. Het reinigt en kalmeert de vochtige hoofdhuid bijzonder zacht, vermindert de transpiratie en zorgt voor natuurlijk volume in het haar.",https://www.labiosthetique.nl/nl/shampooing-hydrotoxa-180255,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg,"27,50 EUR",new,in stock,4040218704495,La Biosthétique,250 ml,Haarverzorging,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"In twee fasen herstelt en regenereert de intensieve haarverzorging de inwendige en uitwendige structuur van chemisch belast haar, versterkt het haar, voorkomt haarbreuk en beschermt het haar tegen negatieve invloeden van buitenaf en voortijdig kleurverlies.",https://www.labiosthetique.nl/nl/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"79,50 EUR",new,in stock,4040218849295,La Biosthétique,1 set,Haarverzorging,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique Fortifying Shampoo,120613,"De milde shampoo versterkt de haarwortels, herstelt de kracht van verzwakt, broos haar en bereidt de hoofdhuid voor op verdere verzorging om haaruitval en haargroeistoornissen tegen te gaan.",https://www.labiosthetique.nl/nl/fortifying-shampoo,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg,"34,50 EUR",new,in stock,4040218871395,La Biosthétique,250 ml,Haarverzorging,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"De milde Strengthening Shampoo reinigt het haar op milde wijze, vitaliseert fijn, dun haar, versterkt en verzegelt de haarvezel en creëert merkbaar meer dichtheid en volume.",https://www.labiosthetique.nl/nl/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"27,50 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,Haarverzorging,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Styling Brush,048796,De klassieke stylingsborstel voor zacht doorkammen en een verzorgde look: de natuurlijke en nylon borstelharen geven het haar een prachtige glans en veerkracht.,https://www.labiosthetique.nl/nl/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"89,50 EUR",new,in stock,4040218781892,La Biosthétique,1 pcs,"Haarverzorging,Styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,"De Leave-In verzorgende vloeistof wordt in een handomdraai aangebracht en hydrateert het haar, brengt structuurverschillen in balans en beschermt het tegen haarbreuk, schadelijke deeltjes en andere schadelijke omgevingsinvloeden.",https://www.labiosthetique.nl/nl/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"32,50 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,Haarverzorging,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
La Biosthétique Sun Care Styling Lacquer,120253,De naar de zomer ruikende non-aerosol haarlak is bijzonder geschikt voor gebruik buitenshuis. Met de niet in water oplosbare UV-filters beschermt deze door de zon belast haar en houdt het perfect in model.,https://www.labiosthetique.nl/nl/sun-care-styling-lacquer,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_styling_lacquer_402607_200ml_5ccb900.jpg/sun_care_styling_lacquer_402607_200ml_5ccb900.jpg,"26,00 EUR",new,in stock,4040218837490,La Biosthétique,200 ml,"Haarverzorging,Styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",1 l,200 ml,FALSE
La Biosthétique Shampooing Lipokérine B,180010,"De herstellende shampoo Lipokérine B reinigt de droge hoofdhuid en bros haar uiterst zacht en op bijzonder milde wijze en geeft verzorging, glans en souplesse.",https://www.labiosthetique.nl/nl/shampooing-lipokerine-b-180010,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_lipok_rine_b_133861_250ml_b5cb0b3.jpg/shampooing_lipok_rine_b_133861_250ml_b5cb0b3.jpg,"27,50 EUR",new,in stock,4040218704488,La Biosthétique,250 ml,Haarverzorging,Health & Beauty > Personal Care > Hair Care,,250 ml,FALSE
