title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz,016399,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218791099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg,"23,50 EUR",new,in stock,4040218791099,La Biosthétique,"1,4 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac,016301,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218829099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg,"23,50 EUR",new,in stock,4040218829099,La Biosthétique,"1,4 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Automatic Pencil for Lips LL32 Rosewood,019055,"Der wasserfeste Lippenkonturen-Stift zaubert wunderschöne, definierte Lippen.",https://www.labiosthetique.at/automatic-pencil-for-lips?childSku=4040218888799,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg,"25,00 EUR",new,in stock,4040218888799,La Biosthétique,"0,35 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,35 g",FALSE
La Biosthétique Brilliant Nail Top Coat,020607,"Glänzendes, schützendes und langanhaltendes Finish in einem: Brilliant Nail Top Coat wird als Überlack aufgetragen und verlängert die Haltbarkeit von Farblacken",https://www.labiosthetique.at/brilliant-nail-top-coat,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg,"18,50 EUR",new,in stock,4040218789898,La Biosthétique,9 ml,Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,9 ml,FALSE
La Biosthétique Pencil for Eyes Violet Silk,017524,Der herrlich sanfte Kajal lässt sich durch seine einzigartig geschmeidige Textur hochpräzise auftragen und verleiht den Augen eine natürlich wache Ausstrahlungskraft.,https://www.labiosthetique.at/pencil-for-eyes?childSku=4040218875898,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg,"22,00 EUR",new,in stock,4040218875898,La Biosthétique,"1,06 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 g,"1,06 g",FALSE
La Biosthétique Liquid Glam,021278,"Das transparente und vielseitig einsetzbare Glittergel zaubert funkelnde Highlights auf die Haut und setzt Augen, Wangenknochen, Lippen oder Dekolleté in Szene.",https://www.labiosthetique.at/liquid-glam,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg,"34,50 EUR",new,in stock,4040218876796,La Biosthétique,4 ml,Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 ml,4 ml,FALSE
La Biosthétique Brow Definer B01 Dark Brown,017622,"Der stylish schlanke Brow Definer definiert mühelos präzise, natürlich wirkende Brauen, setzt einzelne Härchen und nuanciert Konturen. Die ultrafeine Spitze ist auf einen Dreh perfekt on point. Mit veganen, natürlichen Inhaltsstoffen und pflegenden Vitaminen.",https://www.labiosthetique.at/brow-definer?childSku=4040218889994,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg/brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg,"24,50 EUR",new,in stock,4040218889994,La Biosthétique,"0,09 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,09 g",FALSE
La Biosthétique Eyeshadow Pen Macadamia,016966,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218814293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg,"23,50 EUR",new,in stock,4040218814293,La Biosthétique,"1,4 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sensual Lipstick Brilliant B236 Sparkling Sorbet,019462,Der Lippenstift pflegt mit wertvollen Ölen und sorgt für einen filmreifen Kussmund.,https://www.labiosthetique.at/sensual-lipstick-brilliant?childSku=4040218830293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg,"26,50 EUR",new,in stock,4040218830293,La Biosthétique,"3,3 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"3,3 g",FALSE
La Biosthétique Perfect Skin 2/2 Medium Beige,021567,Mit hoher Pigmentdichte und starker Deckkraft gleicht die schmelzende Creme-Foundation Hautunebenheiten mühelos aus und sorgt für lang anhaltende Perfektion.,https://www.labiosthetique.at/perfect-skin?childSku=4040218878493,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_skin_2_2_medium_beige_391647_30ml_c8fcf27.jpg/perfect_skin_2_2_medium_beige_391647_30ml_c8fcf27.jpg,"40,00 EUR",new,in stock,4040218878493,La Biosthétique,30 ml,Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,30 ml,FALSE
