title;id;description;link;image_link;price;condition;availability;gtin;brand;size;product_type;google_product_category;unit_pricing_base_measure;unit_pricing_measure;is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz;016399;Sombra de ojos y Eyeliner en un solo productos. Textura suave y cremosa. De fácil aplicación y difuminación.;https://www.labiosthetique.es/eyeshadow-pen?childSku=4040218791099;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;24,50 EUR;new;in stock;4040218791099;La Biosthétique;1,4 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,4 g;FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac;016301;Sombra de ojos y Eyeliner en un solo productos. Textura suave y cremosa. De fácil aplicación y difuminación.;https://www.labiosthetique.es/eyeshadow-pen?childSku=4040218829099;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;24,50 EUR;new;in stock;4040218829099;La Biosthétique;1,4 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,4 g;FALSE
La Biosthétique Sun Care Body Lotion SPF 50;002396;<p>Gracias a una combinación de filtros UV efectivos y altamente dosificados y a los activadores celulares naturales, la leche solar resistente al agua y sin perfume protege la piel facial y corporal frente a los daños provocados por la radiación solar.</p>;https://www.labiosthetique.es/sun-care-body-lotion-spf-50;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;57,50 EUR;new;in stock;4040218846799;La Biosthétique;200 ml;Cuidado de la piel;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;200 ml;FALSE
La Biosthétique Spa Wellness Hair Shampoo;120725;Champú para el lavado diario y el bienestar del cabello;https://www.labiosthetique.es/spa-wellness-hair-shampoo?childSku=4040218855999;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;25,50 EUR;new;in stock;4040218855999;La Biosthétique;250 ml;Cabello & cuero cabelludo;Health & Beauty > Personal Care > Hair Care;1 l;250 ml;FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;120107;Cuidado rápido con complejo protector del color y de brillo, para cabellos fríos rubios decolorados, coloreados y naturales.No Yellow Conditioner .07 Crystal cuida y reestructura el cabello frío rubio decolorado, coloreado y natural, aporta hidratación y refresca la luminosidad cristalina.;https://www.labiosthetique.es/glam-colour-icy-crystal-07-lv-colouring-conditioner;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;31,50 EUR;new;in stock;4040218871999;La Biosthétique;150 ml;Cabello & cuero cabelludo;Health & Beauty > Personal Care > Hair Care;1 l;150 ml;FALSE
La Biosthétique Automatic Pencil for Lips LL32 Rosewood;019055;Automatic Pencil for Lips proporciona unos labios perfectamente definidos.;https://www.labiosthetique.es/automatic-pencil-for-lips?childSku=4040218888799;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg;26,00 EUR;new;in stock;4040218888799;La Biosthétique;0,35 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;0,35 g;FALSE
La Biosthétique Tinted Eyebrow Gel;PF0099;El gel de color rellena pequeños huecos y fija y modela perfectamente las cejas proporcionando un acabado naturalmente mate.;https://www.labiosthetique.es/tinted-eyebrow-gel;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/t/i/tinted_eyebrow_gel_247581_f5574dd.jpg/tinted_eyebrow_gel_247581_f5574dd.jpg;0,00 EUR;new;in stock;4040999PF0099;La Biosthétique;;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;;FALSE
La Biosthétique Brilliant Nail Top Coat;020607;Capa final de brillo protectora y duradera: Brilliant Nail Top Coat se aplica sobre el esmalte de uñas de color para prolongar su durabilidad y brillo.;https://www.labiosthetique.es/brilliant-nail-top-coat;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;18,50 EUR;new;in stock;4040218789898;La Biosthétique;9 ml;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;9 ml;FALSE
La Biosthétique Pencil for Eyes Violet Silk;017524;Silky Eyes se funde perfectamente con la piel proporcionando acentos únicos.;https://www.labiosthetique.es/pencil-for-eyes?childSku=4040218875898;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;23,00 EUR;new;in stock;4040218875898;La Biosthétique;1,06 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;1 g;1,06 g;FALSE
La Biosthétique Harmonising Wellness Tea bolsitas;002142;El té de bienestar proporciona equilibrio entre cuerpo y mente. Todos los ingredientes contenidos en el té proceden de la agricultura ecológica controlada y han sido inspirados en la composición aromática de la línea Spa para el cuidado corporal.;https://www.labiosthetique.es/harmonising-wellness-tea?childSku=4040218879698;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg;12,00 EUR;new;in stock;4040218879698;La Biosthétique;30 g;Cuidado de la piel;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 kg;30 g;FALSE
