title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Sun Care Body Lotion SPF 50,002396,"<p>Grazie a una combinazione di filtri UV altamente efficaci e ingredienti naturali ad azione cellulare, la lozione solare resistente all’acqua e priva di profumo protegge la pelle del viso e del corpo dai danni causati dal sole.</p>",https://www.labiosthetique.it/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"54,50 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Harmonising Wellness Tea Bustine,002142,"La tisana armonizzante Wellness Tea porta il corpo a raggiungere un rilassato equilibrio, agendo dall'interno. I suoi ingredienti, provenienti da coltivazioni biologiche controllate, si ispirano all’apprezzata fragranza della linea Spa.",https://www.labiosthetique.it/harmonising-wellness-tea?childSku=4040218879698,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg,"11,00 EUR",new,in stock,4040218879698,La Biosthétique,30 g,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,30 g,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Gel doccia, shampoo e shampoo per barba in un unico prodotto. Questo prodotto tutto in uno dal profumo inebriante deterge delicatamente, prendendosi cura della pelle e dei capelli.",https://www.labiosthetique.it/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"9,50 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Capelli,Pelle & corpo","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Comforting Hydro Toner,003737,"Il tonico benefico lenisce i sintomi di una pelle sensibile, irritata. Dona ricca idratazione e prepara la pelle in maniera ottimale ai passaggi successivi del trattamento. Per tutti gli amanti di Visalix Sensitif questo sarà il vostro nuovo prodotto preferito.",https://www.labiosthetique.it/comforting-hydro-toner?childSku=4040218868197,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg,"6,50 EUR",new,in stock,4040218868197,La Biosthétique,50 ml,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Clarifying Spot Gel (ex Likopan Gel),002739,Hydro-gel purificante per un trattamento mirato ed efficace delle aree cutanee interessate da punti neri e brufoli. Per tutti gli amanti di Lipokane Gel questo sarà il vostro nuovo prodotto preferito.,https://www.labiosthetique.it/clarifying-spot-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg,"24,50 EUR",new,in stock,4040218882797,La Biosthétique,15 ml,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
La Biosthétique Sun Care Stick SPF 50+,002628,"La crema solare con SPF 50+, che si scioglie delicatamente, protegge la pelle sensibile del viso e del corpo dalle scottature solari e dai danni profondi causati dai raggi UV.",https://www.labiosthetique.it/sun-care-stick-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg,"25,50 EUR",new,in stock,4040218848595,La Biosthétique,8 g,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,8 g,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,L’idro-spray rinfrescante lenisce e rilassa immediatamente la pelle stressata dal sole e dona preziosa idratazione.,https://www.labiosthetique.it/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"20,00 EUR",new,in stock,4040218863895,La Biosthétique,100 ml,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Portasapone,053518,"Un Highlight per gli occhi in qualsiasi bagno: questo porta sapone dal design lineare e pulito dona a qualsiasi ambiente un certo non so che, grazie anche alla straordinaria profumazione SPA del sapone stesso.",https://www.labiosthetique.it/seifenschale,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/seifenschale_280291_1St_ck_af203e0.jpg/seifenschale_280291_1St_ck_af203e0.jpg,"12,00 EUR",new,in stock,4040218806694,La Biosthétique,1 pcs,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,,1 pcs,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,"Grazie al suo esclusivo sistema in idro-gel, il patch per occhi rinfrescante agisce in maniera intensamente idratante, esercita un effetto decongestionante immediato e distende visibilmente il contorno occhi.",https://www.labiosthetique.it/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"70,50 EUR",new,in stock,4040218846393,La Biosthétique,20 pcs,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Spa Wellness Soap,003912,Sapone wellness per la detersione di viso e corpo.,https://www.labiosthetique.it/spa-wellness-soap?childSku=4040218856392,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_soap_329815_150g_f6c2129.jpg/spa_wellness_soap_329815_150g_f6c2129.jpg,"21,50 EUR",new,in stock,4040218856392,La Biosthétique,150 g,Pelle & corpo,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,150 g,FALSE
