title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Spa Wellness Hair Shampoo,120725,Shampoo wellness per capelli,https://www.labiosthetique.it/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"23,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Capelli,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Trattamento rapido e rivitalizzante del colore per i capelli biondo-freddo, o decolorati, con complesso protettivo del colore e complesso lucentezza UV. No Yellow Conditioner .07 Crystal tratta e ristruttura le tonalità bionde fredde di capelli naturali, colorati o decolorati, li idrata e ne rivitalizza la luminosa brillantezza cristallina.",https://www.labiosthetique.it/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"31,00 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,Capelli,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Gel doccia, shampoo e shampoo per barba in un unico prodotto. Questo prodotto tutto in uno dal profumo inebriante deterge delicatamente, prendendosi cura della pelle e dei capelli.",https://www.labiosthetique.it/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"9,50 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Capelli,Pelle & corpo","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Hairloss Control Scalp Concentrate,120931,"Il concentrato per la cute rivitalizza le radici dei capelli e ne prolunga il ciclo di vita. Affronta la caduta con meccanismi d'azione differenziati, favorisce la crescita dei capelli e ne migliora in modo significativo la qualità e la densità.",https://www.labiosthetique.it/hairloss-control-scalp-concentrate,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg,"161,00 EUR",new,in stock,4040218871197,La Biosthétique,100 ml,Capelli,Health & Beauty > Personal Care > Hair Care,1 l,100 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"In due fasi questo trattamento intensivo per capelli ripara e rigenera la struttura interna ed esterna del capello danneggiato, lo rinforza, impedisce che si spezzi e lo protegge dagli agenti ambientali nocivi nonché da una precoce perdita di colore.",https://www.labiosthetique.it/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"76,50 EUR",new,in stock,4040218849295,La Biosthétique,1 set,Capelli,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique Fortifying Shampoo,120613,"Lo shampoo delicato rinforza le radici dei capelli, ridona vigore ai capelli indeboliti e fragili e prepara il cuoio capelluto ai trattamenti successivi anticaduta e contro i disturbi della crescita.",https://www.labiosthetique.it/fortifying-shampoo,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg,"32,50 EUR",new,in stock,4040218871395,La Biosthétique,250 ml,Capelli,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"Strengthening Shampoo deterge i capelli delicatamente, rivitalizza quelli fini e sottili, rinforzandone le fibre e rendendoli sensibilmente più spessi e voluminosi.",https://www.labiosthetique.it/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"28,00 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,Capelli,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Styling Brush,048796,"Questa spazzola modella, acconcia e dona volume: spazzola di legno con setole di cinghiale e di nylon per capelli più luminosi, che si asciugano più velocemente e più corposi.",https://www.labiosthetique.it/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"51,00 EUR",new,in stock,4040218781892,La Biosthétique,1 pcs,"Capelli,Styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,"Di velocissimo utilizzo, questo fluido trattante senza risciacquo idrata il capello, ripristina l'equilibrio delle differenze strutturali, evita che il capello si spezzi e lo protegge contro le particelle nocive e contro altri agenti ambientali dannosi.",https://www.labiosthetique.it/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"31,50 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,Capelli,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
La Biosthétique Frizz Control Smoothing Conditioner,120162,Trattamento express per domare i capelli ribelli,https://www.labiosthetique.it/frizz-control-smoothing-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/r/frizz_control_smoothing_conditioner_247249_150ml_25e3465.jpg/frizz_control_smoothing_conditioner_247249_150ml_25e3465.jpg,"27,50 EUR",new,in stock,4040218838688,La Biosthétique,150 ml,Capelli,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
